Category ,JSON,Key ,English (John edit),Vietnamese,Korean,Thai,French,Japanese,Indonesian,German,Spanish
,homePage,VIEW_ITEM,VIEW ITEM,XEM CÁC MẶT HÀNG,아이템 보기,ดูไอเทม,VOIR L'ARTICLE,アイテムを表示,LIHAT ITEM,ARTIKEL ANSEHEN,VER ARTÍCULO
,homePage,NONE_COLLECTION,No collection,Không có bộ sưu tập,컬렉션 없음,ไม่พบคอลเลคชั่น,Pas de collection,コレクションなし,Tidak ada koleksi,Keine Sammlung,Sin colección
,homePage,NONE_NFT_FOUND,No NFT found,Không tìm thấy NFT,NFT를 찾을 수 없음,ไม่พบ NFT,Aucun NFT trouvé,NFTが見つかりませんでした,Tidak ditemukan NFT,Kein NFT gefunden,No se encontraron NFTs
,homePage,LAST_24H,Last 24 hours,24h trước,지난 24시간,ภายใน 24 ชั่วโมง,Dernières 24 heures,過去 24 時間,24 jam terakhir,Letzte 24 Stunden,Últimas 24 horas
,homePage,LAST_7_DAYS,Last 7 days,7 ngày trước,최근 7일간,7 วันที่ผ่านมา,7 derniers jours,過去 7 日間,7 hari terakhir,Letzte 7 Tage,Últimos 7 días
,homePage,LAST_30_DAYS,Last 30 days,30 ngày trước,최근 30일간,30 วันที่ผ่านมา,Les 30 derniers jours,過去 30 日間,30 hari terakhir,Letzte 30 Tage,Últimos 30 días
,homePage,LATEST_SALE,Latest sale,,최근 판매,,Dernière vente,最新セール,Penjualan terbaru,Letzter Verkauf,Última venta
,homePage,ARTIST_LATEST_NFT,Artists' Latest NFTs,,아티스트의 최신 NFT,,Derniers NFT de l'artiste,アーティストの最新NFT,NFT Terbaru Artis,Neueste NFTs des Künstlers,Últimos NFTs del artista
Header,homePage,BUTTON.EXPLORE,EXPLORE,KHÁM PHÁ,탐색,สำรวจ,EXPLORER,探索,JELAJAHI,ERKUNDEN,EXPLORAR
,homePage,BUTTON.COLLECTION,COLLECTIONS,BỘ SƯU TẬP,컬렉션,คอลเลคชั่น,COLLECTIONS,コレクション,KOLEKSI,SAMMLUNGEN,COLECCIONES
,homePage,BUTTON.WALLET_MANAGEMENT,WALLET_MANAGEMENT,QUẢN LÝ VÍ,월렛 관리,จัดการกระเป๋าเงินดิจิทัล,GESTION_DU_PORTEFEUILLE,ウォレット_管理,MANAJEMEN_DOMPET,WALLET_VERWALTUNG,GESTIÓN DE BILLETERA
,common,PLACEHOLDER.HEADER_SEARCH,"Search collection, item or user","Tìm kiếm bộ sưu tập, mặt hàng hoặc người dùng","컬렉션, 아이템, 유지 검색",ค้นหา คอลเลคชั่น ไอเทม หรือ ผู้ใช้อื่นๆ,"Rechercher une collection, un article ou un utilisateur",コレクション、アイテム、またはユーザーを検索,"Cari koleksi, item atau pengguna","Sammlung, Artikel oder Benutzer suchen","Buscar colección, artículo o usuario"
,common,TITLE.METAMASK,Metamask,Ví điện tử Metamask,메타마스크,Metamask,Metamask,メタマスク,Metamask,Metamask,Metamask
,common,TITLE.CONNECT_WALLET,Connect Wallet,Kết nối với ví của bạn,월렛 연결,เชื่อมต่อกระเป๋าเงินดิจิตทัล,Connecter le portefeuille,ウォレットを接続,Hubungkan Dompet,Wallet verbinden,Conectar billetera
,common,TITLE.DEPOSIT,Deposit,Tiền gửi,입금,ฝากเงิน,Dépôt,入金,Setor,Einzahlen,Depositar
,common,TITLE.WITHDRAW,Withdraw,Rút tiền,출금,ถอนเงิน,Retrait,出金,Tarik,Abheben,Retirar
,common,TITLE.RECENT_TRANS,Recent Transactions,Các giao dịch gần đây,최근 거래,รายการเคลื่อนไหวบัญชีล่าสุด,Transactions récentes,最近の取引,Transaksi Terakhir,Letzte Transaktionen,Transacciones recientes
,common,TITLE.BALANCE,BALANCE,SỐ DƯ,잔액,ยอดคงเหลือ,SOLDE,残高,SALDO,SALDO,SALDO
,common,TITLE.ADD_FUND,Add Funds,Thêm tiền vào quỹ,자금 추가,เพิ่มเงิน,Ajouter des fonds,資金を追加,Tambah Dana,Guthaben hinzufügen,Añadir fondos
,common,TITLE.WITHDRAW,WITHDRAW,RÚT TIỀN,출금,ถอนเงิน,RETRAIT,出金,TARIK,ABHEBEN,RETIRAR
,common,TITLE.DISCONNECT,Disconnect,Ngắt kết nối,연결해제,ยกเลิกการเชื่อมต่อ,Déconnecter,接続解除,Putuskan sambungan,Trennen,Desconectar
,common,TITLE.AVAILBLE_BALANCE,AVAILABLE BALANCE,SỐ DƯ KHẢ DỤNG,출금 가능액,เงินทุนคงเหลือ,SOLDE DISPONIBLE,利用可能な残高,SALDO YANG TERSEDIA,VERFÜGBARER SALDO,SALDO DISPONIBLE
,common,TITLE.AVAILBLE_STAN_FUND,AVAILABLE STAN FUND,QŨY STAN KHẢ DỤNG,출금 가능한 스탠자금,เงินทุน Stan คงเหลือ,FONDS STAN DISPONIBLE,利用可能なスタンファンド,DANA STAN YANG TERSEDIA,VERFÜGBARE STAN-MITTEL,FONDOS STAN DISPONIBLES
,common,TITLE.AMOUNT,AMOUNT,SỐ LƯỢNG,수량,จำนวน,MONTANT,数量,JUMLAH,BETRAG,CANTIDAD
,common,TITLE.WALLET_ADDRESS,WALLET ADDRESS,ĐỊA CHỈ VÍ ĐIỆN TỬ,월렛 주소,ที่อยู่กระเป๋าเงินดิจิทัล,ADRESSE DU PORTEFEUILLE,ウォレットアドレス,ALAMAT DOMPET,WALLET-ADRESSE,DIRECCIÓN DE LA BILLETERA
,common,DESCRIPTION.DEPOSIT,Deposit Crypto into your wallet and start trading on the world's largest Artist exchange,Nạp tiền điện tử vào ví của bạn và bắt đầu giao dịch trên sàn giao dịch lớn nhất thế giới!,MATIC을 월렛에 입금하고 세계 최대 아티스트 거래소에서 거래를 시작하세요!,ฝากเหรียญ Crypto ไปยังกระเป๋าเงินดิจิทัลของคุณและเริ่มทำการเทรดบนตลาดหลักทรัพย์ที่ใหญ่ที่สุดในโลก,Déposez des crypto-monnaies dans votre portefeuille et commencez à échanger sur la plus grande bourse d'échange d'artistes au monde !,暗号通貨をウォレットに入金して、世界最大のアーティスト取引所で取引を始めましょう！,Setor Kripto ke dompet Anda dan mulai berdagang di bursa Artis terbesar di dunia!,Einzahlung von Krypto in Ihre Wallet und starten Sie den Handel auf der weltweit größten Künstlerbörse!,Deposita criptomoneda en tu billetera y comienza a comerciar en la mayor bolsa de artistas del mundo.
,common,MSG.AMOUNT_STAN_REQUIRED,[stan] funds are required,Số tiền quỹ STAN là bắt buộc!,STAN 자금이 필요합니다!,ต้องมีเงินทุน Stan,Les fonds [stan] sont requis !,[stan]資金が必要です！,dana [stan] diperlukan!,[stan]-Mittel sind erforderlich!,¡Se requieren fondos de [stan]!
,common,MSG.MINIMUM_AMOUNT_STAN,[stan] funds must be greater than 0,Số tiền quỹ STAN phải lớn hơn 0,STAN 자금 금액은 0보다 커야 합니다!,เงินทุน Stan ต้องมากกว่า 0,Les fonds [stan] doivent être supérieurs à 0,[stan] 資金は 0 より大きくなければなりません,dana [stan] harus lebih besar dari 0,[stan]-Mittel müssen größer als 0 sein,Los fondos de [stan] deben ser mayores que 0
,common,MSG.DEPOSIT_AMOUNT_STANT,Cannot deposit amount greater than your stan token,Bạn không thể gửi tiền với số lượng lớn hơn STAN Token của mình.,당신의 STAN 토큰보다 더 많은 금액을 입금할 수 없습니다.,คุณไม่สามารถฝากเงินจำนวนสูงกว่าจำนวน Stan Token ของคุณ,Vous ne pouvez pas déposer un montant supérieur à votre Token STAN.,STANトークンを超える金額を入金することはできません。,Tidak dapat menyetor jumlah yang lebih besar dari Token STAN Anda.,Einzahlungsbetrag kann nicht größer als Ihr STAN-Token sein.,No se puede depositar una cantidad mayor que tu token STAN.
,common,MSG.DEPOSIT_REQUEST_SUBMITTED,Deposit request submitted,Yêu cầu nạp tiền đã được gửi,입금 요청 제출됨,ส่งคำขอฝากเงินสำเร็จ,Demande de dépôt soumise,入金リクエストが送信されました,Permintaan setoran dikirimkan,Einzahlungsanfrage eingereicht,Solicitud de depósito enviada
,common,BUTTON.ADD_FUNDS,Add Funds,Thêm các quỹ,자금 추가,เพิ่มทุน,Ajouter des fonds,資金を追加,Tambah Dana,Guthaben hinzufügen,Añadir fondos
,common,BUTTON.GO_BACK,Go back,Quay lại,돌아가기,ย้อนกลับ,Revenir en arrière,戻る,Kembali,Zurückgehen,Regresar
,common,BUTTON.WITHDRAW,Withdraw,Rút tiền,출금,ถอน,Retirer,出金,Tarik,Abheben,Retirar
,common,PLACEHOLDER.INPUT_AMOUNT,Input Amount,Số lượng đầu vào,금액 입력,ใส่จำนวน,Entrer le montant,数値を入力,Masukkan jumlah,Betrag eingeben,Ingresar cantidad
,common,BUTTON.CREATE_NFT,CREATE NFT,TẠO NFT,NFT 생성,สร้าง NFT,CRÉER UN NFT,NFTの作成,BUAT NFT,NFT ERSTELLEN,CREAR NFT
,common,BUTTON.CREATE_COLLECTION,CREATE COLLECTION,TẠO BỘ SƯU TẬP,컬렉션 생성,สร้างคอลเลคชั่น,CRÉER UNE COLLECTION,コレクションの作成,BUAT KOLEKSI,SAMMLUNG ERSTELLEN,CREAR COLECCIÓN
,common,TITLE.DISCONNECT,Disconnect,Ngắt kết nối,연결해제,ยกเลิกการเชื่อมต่อ,Déconnexion,接続解除,Putuskan sambungan,Trennen,Desconectar
,common,TITLE.QR_CODE_AUTHENTICATION,QR Code Authentication,Xác thực mã QR,QR코드 인증,ยืนยัน QR Code,Authentification par code QR,QRコード認証,Otentikasi Kode QR,QR-Code-Authentifizierung,Autenticación de código QR
,common,TITLE.ADD_FUND,Add Fund,Thêm quỹ,자금 추가,เพิ่มทุน,Ajouter un fonds,資金を追加,Tambah Dana,Guthaben hinzufügen,Añadir fondos
Footer,common,TITLE.FOOTER_DESCRIPTION,© 2023 [stan]. All rights reserved.,© 2022 Stan. Đã đăng ký Bản quyền.,© 2023 [stan]. All rights reserved.,© 2022 Stan. All Rights Reserved.,© 2022 [stan]. Tous droits réservés.,© 2022 [stan].無断転載を禁じます。,© 2022 [stan]. Semua Hak Cipta Dilindungi Undang-Undang.,© 2022 [stan]. Alle Rechte vorbehalten.,© 2022 [stan]. Todos los derechos reservados.
Explore Page,explore,TITLE.EXPLORE,Explore,Khám phá,탐색,สำรวจ,Explorer,探索,Jelajahi,Erkunden,Explorar
,common,TABPANE.COLLECTIONS,COLLECTIONS,BỘ SƯU TẬP,컬렉션,คอลเลคชั่น,COLLECTIONS,コレクション,KOLEKSI,SAMMLUNGEN,COLECCIONES
,common,TABPANE.ITEMS,ITEMS,CÁC MẶT HÀNG,아이템,ไอเทม,ARTICLES,アイテム,ITEM,ARTIKEL,ARTÍCULOS
,explore,PLACEHOLDER.SEARCH,Search by name,Tìm kiếm theo tên,이름으로 검색,ค้นหาด้วยชื่อ,Recherche par nom,名前で検索,Cari menurut nama,Suche nach Name,Buscar por nombre
,explore,TABLE.TITLE.RANK,RANK,XẾP HẠNG,랭크,อันดับ,RANG,ランク,PERINGKAT,RANG,RANGO
,explore,TABLE.TITLE.COLLECTION,COLLECTION,BỘ SƯU TẬP,컬렉션,คอลเลคชั่น,COLLECTION,コレクション,KOLEKSI,SAMMLUNG,COLECCIÓN
,explore,TABLE.TITLE.VOLUME,VOLUME,KHỐI LƯỢNG GIAO DỊCH,볼륨,ปริมาณการซื้อขาย,VOLUME,ボリューム,VOLUME,VOLUMEN,VOLUMEN
,explore,TABLE.TITLE.FLOOR_PRICE,FLOOR PRICE,GIÁ SÀN,최저 가격,ราคาขั้นต่ำ,PRIX DU SOL,最低価格,HARGA LANTAI,MINDESTPREIS,PRECIO MÍNIMO
,explore,TABLE.TITLE.OWNER,OWNER,CHỦ SỞ HỮU,현재 소유자,เจ้าของ,PROPRIÉTAIRE,オーナー,PEMILIK,BESITZER,PROPIETARIO
,explore,TABLE.TITLE.ITEMS,ITEMS,CÁC MẶT HÀNG,아이템,ไอเทม,ÉLÉMENTS,アイテム,ITEM,ARTIKEL,ARTÍCULOS
,explore,TABLE.TITLE.ARTIST_PROFILE,ARTIST_PROFILE,HỒ SƠ NGHỆ SĨ,아티스트 프로필,โปรไฟล์ศิลปิน,PROFIL DE L'ARTISTE,アーティスト_プロフィール,PROFIL_ARTIS,KÜNSTLER_PROFIL,PERFIL DEL ARTISTA
,explore,TABLE.TITLE.NUMBER_OF_COLLECTIONS,NUMBER_OF_COLLECTIONS,SỐ LƯỢNG BỘ SƯU TẬP,컬렉션 수,จำนวนคอลเลคชั่น,NOMBRE_DE_COLLECTIONS,コレクション数,JUMLAH_KOLEKSI,ANZAHL_DER_SAMMLUNGEN,NÚMERO DE COLECCIONES
,explore,TABLE.TITLE.TOTAL_VOLUME,TOTAL_VOLUME,TỔNG KHỐI LƯỢNG GIAO DỊCH,총 볼륨,ปริมาณการซื้อขายทั้งหมด,VOLUME TOTAL,トータルボリューム,JUMLAH_VOLUME,GESAMTVOLUMEN,VOLUMEN TOTAL
,explore,TABLE.TITLE.OWNERS,OWNERS,SỐ LƯỢNG CHỦ SỞ HỮU,소유자,เจ้าของ,PROPRIÉTAIRES,オーナー,PEMILIK,BESITZER,PROPIETARIOS
,explore,TABLE.TITLE.NUMBER_OF_ITEMS,NUMBER_OF_ITEMS,SỐ LƯỢNG MẶT HÀNG,아이템 수,จำนวนไอเทม,NOMBRE_D'ARTICLES,アイテム数,JUMLAH_ITEM,ANZAHL_DER_ARTIKEL,NÚMERO DE ARTÍCULOS
,explore,TABLE.TITLE.NAME,NAME,TÊN,이름,ชื่อ,NOM,名前,NAMA,NAME,NOMBRE
,explore,TABLE.TITLE.STAN_MEMBER_SINCE,STAN MEMBER SINCE,THÀNH VIÊN STAN TỪ,스탠 가입일,เป็นสมาชิก Stan ตั้งแต่,STAN MEMBRE DEPUIS,スタンメンバー経歴,ANGGOTA STAN SEJAK,STAN-MITGLIED SEIT,MIEMBRO DE STAN DESDE
,explore,TABLE.TITLE.TOTAL_PURCHASE,TOTAL PURCHASE,TỔNG TIỀN ĐÃ GIAO DỊCH,총 구매,ยอดซื้อทั้งหมด,TOTAL DES ACHATS,購入総額:,TOTAL PEMBELIAN,GESAMTKAUF,COMPRA TOTAL
,explore,SORT.NUMBER_OF_COLLECTIONS_ASC,Number of Collections: Low to High,Số lượng bộ sưu tập: Thấp đến Cao,컬렉션 수 : 낮은 순,จำนวนคอลเลคชั่น จากต่ำ - สูง,Nombre de collections : De la plus basse à la plus haute,コレクション数:低 - 高,Jumlah koleksi: Rendah ke Tinggi,Anzahl der Sammlungen: Niedrig bis Hoch,Número de colecciones: de menor a mayor
,explore,SORT.NUMBER_OF_COLLECTIONS_DESC,Number of Collections: High to Low,Số lượng bộ sưu tập: Cao đến Thấp,컬렉션 수 : 높은 순,จำนวนคอลเลคชั่น จากสูง - ต่ำ,Nombre de collections : De la plus haute à la plus basse,コレクション数:高 - 低,Jumlah koleksi: Tinggi ke Rendah,Anzahl der Sammlungen: Hoch bis Niedrig,Número de colecciones: de mayor a menor
,explore,SORT.TOTAL_VOLUME_ASC,Total volume: Low to High,Tổng khối lượng giao dịch: Thấp đến Cao,총 볼륨 : 낮은 순,ปริมาณการซื้อขายทั้งหมด จากต่ำ - สูง,Volume total : De faible à élevé,合計取引量：低 - 高,Total volume: Rendah ke Tinggi,Gesamtvolumen: Niedrig bis Hoch,Volumen total: de menor a mayor
,explore,SORT.TOTAL_VOLUME_DESC,Total volume: High to Low,Tổng khối lượng giao dịch: Cao đến Thấp,총 볼륨 : 높은 순,ปริมาณการซื้อขายทั้งหมด จากสูง - ต่ำ,Volume total : De haut en bas,合計取引量：高 - 低,Total volume: Tinggi ke Rendah,Gesamtvolumen: Hoch bis Niedrig,Volumen total: de mayor a menor
,explore,SORT.OWNERS_ASC,Owners: Low to High,Số lượng chủ sở hữu: Thấp đến Cao,소유자 : 낮은 순,จำนวนเจ้าของ จากต่ำ - สูง,Propriétaires : De bas en haut,オーナー：低 - 高,Pemilik: Rendah ke Tinggi,Besitzer: Niedrig bis Hoch,Propietarios: de menor a mayor
,explore,SORT.OWNERS_DESC,Owners: High to Low,Số lượng chủ sở hữu: Cao đến Thấp,소유자 : 높은 순,จำนวนเจ้าของ จากสูง - ต่ำ,Propriétaires : De haut en bas,オーナー：高 - 低,Pemilik: Tinggi ke Rendah,Besitzer: Hoch bis Niedrig,Propietarios: de mayor a menor
,explore,SORT.NUMBER_OF_ITEMS_ASC,Items: Low to High,Số lượng mặt hàng: Thấp đến Cao,아이템 : 낮은 순,จำนวนไอเทม จากต่ำ - สูง,Articles : De bas en haut,アイテム：低 - 高,Item: Rendah ke Tinggi,Artikel: Niedrig bis Hoch,Artículos: de menor a mayor
,explore,SORT.NUMBER_OF_ITEMS_DESC,Items: High to Low,Số lượng mặt hàng: Cao đến Thấp,아이템 : 높은 순,จำนวนไอเทม จากสูง - ต่ำ,Articles : De haut en bas,アイテム：高 - 低,Item: Tinggi ke Rendah,Artikel: Hoch bis Niedrig,Artículos: de mayor a menor
,explore,SORT.NAME_ASC,Name: A -> Z,Tên: A => Z,이름: A -> Z,ชื่อจาก ก-ฮ,Nom : A => Z,名前：A => Z,Nama: A => Z,Name: A => Z,Nombre: A => Z
,explore,SORT.NAME_DESC,Name: Z -> A,Tên: Z => A,이름: Z -> A,ชื่อจาก ฮ-ก,Nom : Z => A,名前：Z => A,Nama: Z => A,Name: Z => A,Nombre: Z => A
,explore,SORT.TOTAL_PURCHASE_ASC,Total Purchase: Low to High,Tổng chi tiêu: Thấp đến cao,총 구매 : 낮은 순,จำนวนการซื้อ จากต่ำ - สูง,Achat total : Du plus bas au plus haut,購入総額:低 - 高,Total Pembelian: Rendah ke Tinggi,Gesamteinkauf: Niedrig bis Hoch,Compra total: de menor a mayor
,explore,SORT.TOTAL_PURCHASE_DESC,Total Purchase: High to Low,Tổng chi tiêu: Cao đến thấp,총 구매 : 높은 순,จำนวนการซื้อ จากสูง - ต่ำ,Total des achats : Du plus élevé au plus bas,購入総額:高 - 低,Total Pembelian: Tinggi ke Rendah,Gesamteinkauf: Hoch bis Niedrig,Compra total: de mayor a menor
,explore,SORT.MEMBER_SINCE_ASC,Stan Member: Latest to Recent,Thành viên STAN: muộn nhất đến mới nhất,스탠 가입일 : 오래된 순,สมาชิก Stan ต้นสุด - ล่าสุด,Membre de Stan : Du plus récent au moins récent,スタンメンバー:最古から最新,Anggota Stan: Terdahulu ke Terbaru,Stan Mitglied: Neueste bis Älteste,Miembro de Stan: de más reciente a más antiguo
,explore,SORT.MEMBER_SINCE_DESC,Stan Member: Recent to Latest,Thành viên STAN: mới nhất đến muộn nhất,스탠 가입일 : 최신 순,สมาชิก Stan ล่าสุด - ต้นสุด,Membre de Stan : Du plus récent au moins récent,スタンメンバー:最新から最古,Anggota Stan: Terbaru ke Terdahulu,Stan Mitglied: Älteste bis Neueste,Miembro de Stan: de más antiguo a más reciente
,explore,SORT.DATE_ASC,Date and Time: Oldest to Latest,Thời gian: Mới nhất đến Cũ nhất,날짜 및 시간 순 : 오래된 순,,Date et heure : Du plus ancien au plus récent,日時：最古から最新,Tanggal dan Waktu: Terlama ke Terkini,Datum und Uhrzeit: Älteste bis Neueste,Fecha y hora: de más antiguo a más reciente
,explore,SORT.DATE_DESC,Date and Time: Latest to Oldest,Thời gian: Cũ nhất đến Mới nhất,날짜및 시간 순 : 최신 순,,Date et heure : Du plus ancien au plus récent,日時：最新から最古,Tanggal dan Waktu: Terkini ke Terlama,Datum und Uhrzeit: Neueste bis Älteste,Fecha y hora: de más reciente a más antiguo
,explore,SORT.PRICE_ASC,Price: Low to High,Giá: Thấp đến Cao,가격 : 낮은 순,,Prix : Du plus bas au plus haut,価格：低 - 高,Harga: Rendah ke Tinggi,Preis: Niedrig bis Hoch,Precio: de menor a mayor
,explore,SORT.PRICE_DESC,Price: High to Low,Giá: Cao đến Thấp,가격 : 높은 순,,Prix : du plus élevé au plus bas,価格：高 - 低,Harga: Tinggi ke Rendah,Preis: Hoch bis Niedrig,Precio: de mayor a menor
,explore,SELECT.TITLE.RECENTLY_CREATED,Recently Created,Được tạo gần đây,최신 작품,เพิ่งสร้างเร็ว ๆ นี้,Récemment créé,最近作成,Baru saja dibuat,Kürzlich erstellt,Recientemente creado
,explore,SELECT.TILTE.RECENTELY_LISTED,Recently Listed,Được liệt kê gần đây,최신 판매작,เพิ่งลงขายเร็ว ๆ นี้,Récemment listé,最近出品,Baru saja terdaftar,Kürzlich aufgelistet,Recientemente listado
,explore,SELECT.TITLE.OLDEST,Oldest,Cũ nhất,오래된 순,เก่าที่สุด,Plus ancien,最も古い,Terlama,Älteste,Más antiguo
,explore,SELECT.TITLE.LOW_TO_HIGH,Price Low to High,Giá từ thấp đến cao,가격 낮은 순,ราคาจากต่ำ - สูง,Prix du plus bas au plus haut,低価格 - 高価格,Harga Rendah ke Tinggi,Preis: Niedrig bis Hoch,Precio de menor a mayor
,explore,SELECT.TITLE.HIGH_TO_LOW,Price High to Low,Giá từ cao đến thấp,가격 높은 순,ราคาจากสูง - ต่ำ,Prix du plus haut au plus bas,高価格 - 低価格,Harga Tinggi ke Rendah,Preis: Hoch bis Niedrig,Precio de mayor a menor
,common,MENU.TITLE.STATUS,STATUS,TRẠNG THÁI,상태,สถานะ,STATUT,スターテス,STATUS,STATUS,ESTADO
,common,MENU.TITLE.FILTER_ARTIST,Filter Artist,Lọc Nghệ sĩ,아티스트 필터,ตัวกรองศิลปิน,Filtrer l'artiste,アーティストフィルター,Filter Artis,Künstler filtern,Filtrar Artista
,explore,MENU.NFT_TYPE.BUY,Buy,Mua,구매,ซื้อ,Acheter,購入,Beli,Kaufen,Comprar
,explore,MENU.NFT_TYPE.OFFER,Offer,Đề xuất,제안,เสนอ,Offrir,オファー,Penawaran,Angebot,Ofertar
,explore,MENU.NFT_TYPE.ON_BID,On Bid,Đấu thầu,입찰 중🤚,จำลังมีการประมูล,Sur l'offre,入札中,Ditawarkan,Im Gebot,En puja
,explore,MENU.TITLE.PRICE,PRICE,GIÁ BÁN,가격,ราคา,PRIX,価格,HARGA,PREIS,PRECIO
,explore,MENU.TITLE.ALL,ALL,TẤT CẢ,모두,ทั้งหมด,TOUT,すべて,SEMUA,ALLE,TODOS
,explore,MENU.STAN_FUND,Stan Fund,Quỹ Stan,Stan 자금,ทุน Stan,Fonds [stan],[stan] 資金,Dana [stan],[stan] Mittel,Fondo [stan]
,explore,MENU.STAN_POINT,Point,Điểm,포인트,คะแนน,Point,ポイント,Poin,Punkte,Punto
,explore,MENU.FROM,From,Từ,From,ราคาเดิม,De,送信元,Dari,Von,De
,explore,MENU.TO,To,Đến,To,ราคาเสนอ,À,送信先,Ke,Bis,A
,common,BUTTON.CANCEL,Cancel,Hủy bỏ,취소,ยกเลิก,Annuler,キャンセル,Batal,Abbrechen,Cancelar
,common,BUTTON.ACCEPT,Accept,Chấp nhận,동의,ยืนยัน,Accepter,承認,Terima,Akzeptieren,Aceptar
,common,BUTTON.APPLY,APPLY,ÁP DỤNG,승인,"สมัคร (apply for a member, job)/ ใช้ (use)",APPLIQUER,適用,TERAPKAN,ANWENDEN,APLICAR
,common,MSG.NOT_FOUND_NFT,NFT filter conditions not found,Không tìm thấy bất kỳ điều kiện bộ lọc NFT nào thỏa mãn,NFT 필터 조건을 찾을 수 없음,ไม่เจอข้อมูลที่คุณค้นหาผ่านตัวกรอง,Conditions du filtre NFT non trouvées,NFTフィルターの条件が見つかりません,Kondisi filter NFT tidak ditemukan,NFT-Filterbedingungen nicht gefunden,No se encontraron condiciones de filtro para NFT
,common,MSG.NOT_CREATED_NFT,You have not created any NFT,Bạn chưa tạo bất kỳ NFT nào,회원님은 NFT를 생성하지 않았어요!,คุณยังไม่ได้สร้าง NFT,Vous n'avez pas créé de NFT,NFTは作成されていません,Anda belum membuat NFT apa pun,Sie haben noch keinen NFT erstellt,No has creado ningún NFT
,common,MSG.TO_PRICE_GREATER_THAN_FROM_PRICE,To Price must be greater than From Price,Giá Cao nhất phải lớn hơn Giá Thấp nhất,가격은 최저가 보다 높아야 합니다!,ราคาที่เสนอต้องสูงกว่าราคาเดิม,Le prix de départ doit être supérieur au prix d'arrivée,終了価格は開始価格より大きくなければなりません,Harga Ke harus lebih besar dari Harga Dari,Zum Preis muss größer sein als Vom Preis,"El precio ""A"" debe ser mayor que el precio ""De"""
,common,BUTTON.SELL_NOW,Sell Now,Bán ngay,판매하기,ขายตอนนี้,Vendre maintenant,今すぐ売る,Jual Sekarang,Jetzt verkaufen,Vender ahora
,common,BUTTON.CANCEL,CANCEL,HỦY BỎ,취소,ยกเลิก,ANNULER,キャンセル,BATAL,ABBRECHEN,CANCELAR
